"PacFIN_Species_Code","Institution","Year","Sample_ID","Year_Month_Code","Project_ID","CDFW_Vessel_Number","Sample_Number","Port","Capture_Date","Vessel","Fork_Length_mm","Carcass_Fork_Length_mm","Sex","Maturity","Otoliths_Retained","Fin_Clip_Retained","Comments","CRFS_District","RecFIN_Species_Code","Species_Name","Scientific_Name","MANAGEMENT_PLAN_ID","FISHERY_MANAGEMENT_PLAN","SPECIES_GROUP_ID","SPECIES_GROUP_NAME","STOCK_COMPLEX_ID","STOCK_COMPLEX_NAME"
"BANK","SIO","2023","202312-1012-16699-BANK-997","202312","1012","16699","997","Long Beach",2023-12-30,"Eldorado",440,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 4","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-963","202312","1012","16699","963","Long Beach",2023-12-29,"Eldorado",480,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-995","202312","1012","16699","995","Long Beach",2023-12-16,"Eldorado",340,NA,"M","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","UCSB","2023","202310-1012-12758-BANK-426","202310","1012","12758","426","Santa Barbara",2023-10-26,"Coral Sea",326,NA,"F","1","Yes","No",NA,"District 2 - Channel",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","NMFS","2024","202411-1012-39045-BANK-369","202411","1012","39045","369","Seaforth",2024-11-09,"Outer Limits",434,NA,"F","1","Yes","No","STAGE 3","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-996","202312","1012","16699","996","Long Beach",2023-12-16,"Eldorado",480,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 3","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","UCSB","2024","202412-1012-39022-BANK-795","202412","1012","39022","795","Santa Barbara",2024-12-13,"Stardust",294,NA,"F","0","Yes","Yes",NA,"District 2 - Channel",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-964","202312","1012","16699","964","Long Beach",2023-12-29,"Eldorado",460,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 3+, FEW EYED LARVAE","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2024","202404-1012-16699-BANK-67","202404","1012","16699","67","Long Beach",2024-04-05,"Eldorado",250,NA,"F","1","Yes","No","VESSEL CREW IDENTIFIED AS GREENBLOTCHED, STAGE 3 (FERTILIZED)","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","NMFS","2024","202411-1012-39045-BANK-367","202411","1012","39045","367","Seaforth",2024-11-09,"Outer Limits",496,NA,"F","1","Yes","No","STAGE 3","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","NMFS","2024","202411-1012-04990-BANK-302","202411","1012","04990","302","Marina Del Rey",2024-11-17,"Betty-O",304,NA,"M","1","Yes","No","RIPE","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202311-1012-04990-BANK-869","202311","1012","04990","869","Marina Del Rey",2023-11-22,"Betty-O",320,309,"M","1","Yes","No","LENGTH WAS MEASURED TO WHOLE AND HALF DECIMAL","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","NMFS","2024","202411-1012-39045-BANK-370","202411","1012","39045","370","Seaforth",2024-11-09,"Outer Limits",498,NA,"F","1","Yes","No","STAGE 3","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","NMFS","2024","202411-1012-39045-BANK-368","202411","1012","39045","368","Seaforth",2024-11-09,"Outer Limits",494,NA,"F","1","Yes","No","STAGE 3","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-04990-BANK-866","202312","1012","04990","866","Marina Del Rey",2023-12-05,"Betty-O",304.2,304,"F","0","Yes","No","STAGE 1, GUT PERFORATED, ID ON TAG AS MEXICAN BUT DEFINITELY A BANK, LENGTH MEASURED TO MM PLUS 1 DECIMAL PLACE?","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-958","202312","1012","16699","958","Long Beach",2023-12-29,"Eldorado",380,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 3","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","NMFS","2024","202411-1012-39045-BANK-365","202411","1012","39045","365","Seaforth",2024-11-09,"Outer Limits",363,NA,"F","0","Yes","No",NA,"District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2024","202404-1012-16699-BANK-64","202404","1012","16699","64","Long Beach",2024-04-05,"Eldorado",230,NA,"F","1","Yes","No","VESSEL CREW IDENTIFIED AS GREENBLOTCHED, STAGE 3 (FERTILIZED)","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-960","202312","1012","16699","960","Long Beach",2023-12-29,"Eldorado",365,NA,"M","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 4","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-962","202312","1012","16699","962","Long Beach",2023-12-29,"Eldorado",390,NA,"M","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 4","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202310-1012-04990-BANK-617","202310","1012","04990","617","Marina Del Rey",2023-10-11,"Betty-O",292,277,"F","0","Yes","No","11.5 INCHES WRITTEN ON TAG FOR MEASUREMENT; FORK LENGTH CONVERTED FROM INCHES MEASUREMENT","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","NMFS","2024","202411-1012-39045-BANK-366","202411","1012","39045","366","Seaforth",2024-11-09,"Outer Limits",436,NA,"F","1","Yes","No","STAGE 2+","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-961","202312","1012","16699","961","Long Beach",2023-12-29,"Eldorado",410,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-959","202312","1012","16699","959","Long Beach",2023-12-29,"Eldorado",460,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 3","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
"BANK","SIO","2023","202312-1012-16699-BANK-965","202312","1012","16699","965","Long Beach",2023-12-29,"Eldorado",420,NA,"F","1","Yes","No","LENGTH MEASUREMENTS SEEM ROUNDED TO THE WHOLE OR HALF MM, STAGE 4","District 1 - South",8826010156,"Bank Rockfish","Sebastes rufus",2,"Groundfish",15,"Rockfish",12,"Slope Rockfish"
