State Name,RecFIN Year,RecFIN Port Name,RecFIN Trip Type Name,Agency Water Area Name,Agency Fished Area Name,RecFIN Mode Name,Fishery Management Plan,Stock Complex Name,Species Group Name,Species Name,Scientific Name,Agency Length,Agency Length Units,Is Agency Length Within Max,Agency Weight,Agency Weight Units,RecFIN Length MM,RecFIN Imputed Length,Length Type,RecFIN Imputed Weight KG,RecFIN Sex Code,RecFIN Sex Name,Is Retained,Caught By Observed Angler,Source Code
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,278,,T,0.27,,278,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,312,,T,0.40,,312,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,276,,T,0.29,,276,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,276,,T,-,,276,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,287,,T,0.36,,287,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,288,,T,0.32,,288,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,252,,T,0.23,,252,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,280,,T,0.29,,280,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,289,,T,0.32,,289,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,314,,T,0.40,,314,,,-,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,SHELF ROCKFISH,ROCKFISH,MEXICAN ROCKFISH,SEBASTES MACDONALDI,324,,T,0.46,,324,,,-,,,RETAINED,,BIO
