RECFIN_SPECIES_CODE,SPECIES_NAME,SCIENTIFIC_NAME,MANAGEMENT_PLAN_ID,FISHERY_MANAGEMENT_PLAN,SPECIES_GROUP_ID,SPECIES_GROUP_NAME,STOCK_COMPLEX_ID,STOCK_COMPLEX_NAME,PACFIN_SPECIES_CODE
8826010104,AURORA ROCKFISH,Sebastes aurora,2,Groundfish,15,Rockfish,12,Slope Rockfish,ARRA
8826010156,BANK ROCKFISH,Sebastes rufus,2,Groundfish,15,Rockfish,12,Slope Rockfish,BANK
8826010140,BLACK AND YELLOW ROCKFISH,Sebastes chrysomelas,2,Groundfish,15,Rockfish,5,Nearshore Shallow,BYEL
8826010121,BLACK ROCKFISH,Sebastes melanops,2,Groundfish,15,Rockfish,4,Nearshore Deep Demersal,BLCK
8826010122,BLACKGILL ROCKFISH,Sebastes melanostomus,2,Groundfish,15,Rockfish,12,Slope Rockfish,BLGL
8826010124,BLUE ROCKFISH,Sebastes mystinus,2,Groundfish,15,Rockfish,4,Nearshore Deep Demersal,BLUR
8826010127,BOCACCIO,Sebastes paucispinis,2,Groundfish,15,Rockfish,11,Shelf Rockfish,BCAC
8826010147,BRONZESPOTTED ROCKFISH,Sebastes gilli,2,Groundfish,15,Rockfish,11,Shelf Rockfish,BRNZ
8826010103,BROWN ROCKFISH,Sebastes auriculatus,2,Groundfish,15,Rockfish,4,Nearshore Deep Demersal,BRWN
8831023101,CABEZON,Scorpaenichthys marmoratus,2,Groundfish,18,Sculpins,9,Roundfish,CBZN
8826010145,CALICO ROCKFISH,Sebastes dalli,2,Groundfish,15,Rockfish,4,Nearshore Deep Demersal,CLCO
8826010616,CALIFORNIA SCORPIONFISH,Scorpaena guttata,2,Groundfish,15,Rockfish,8,Other Rockfish,SCOR
8826010128,CANARY ROCKFISH,Sebastes pinniger,2,Groundfish,15,Rockfish,11,Shelf Rockfish,CNRY
8826010153,CHAMELEON ROCKFISH,Sebastes phillipsi,2,Groundfish,15,Rockfish,11,Shelf Rockfish,CMEL
8826010117,CHILIPEPPER,Sebastes goodei,2,Groundfish,15,Rockfish,11,Shelf Rockfish,CLPR
8826010125,CHINA ROCKFISH,Sebastes nebulosus,2,Groundfish,15,Rockfish,5,Nearshore Shallow,CHNA
