"SPECIES_NAME","Year","RecFIN_Port_Name","Lengths","Sexed_Fish","Unsexed_Fish","Unread_Otoliths"
"BANK ROCKFISH","2023","1 & 2 - Southern",15,15,0,15
"BLACK AND YELLOW ROCKFISH","2023","3 - Central",2,2,0,2
"BLACK ROCKFISH","2023","4 - San Francisco",10,10,0,10
"BLACK ROCKFISH","2023","5 - Mendocino",55,55,0,55
"BLACK ROCKFISH","2023","6 - Northern",74,75,0,75
"BLUE ROCKFISH","2023","1 & 2 - Southern",136,135,1,136
"BLUE ROCKFISH","2023","3 - Central",51,48,3,51
"BLUE ROCKFISH","2023","5 - Mendocino",29,29,0,29
"BLUE ROCKFISH","2023","6 - Northern",6,6,0,6
"BOCACCIO","2023","1 & 2 - Southern",1,1,0,1
"BROWN ROCKFISH","2023","1 & 2 - Southern",43,42,1,43
"BROWN ROCKFISH","2023","3 - Central",5,5,0,5
"BROWN ROCKFISH","2023","4 - San Francisco",62,60,2,62
"BROWN ROCKFISH","2023","6 - Northern",3,3,0,3
"CABEZON","2023","3 - Central",1,1,0,1
"CALICO ROCKFISH","2023","1 & 2 - Southern",4,4,0,4
"CALIFORNIA SCORPIONFISH","2023","1 & 2 - Southern",84,80,5,85
"CANARY ROCKFISH","2023","1 & 2 - Southern",3,3,0,3
"CANARY ROCKFISH","2023","3 - Central",70,69,1,70
"CANARY ROCKFISH","2023","4 - San Francisco",28,28,0,28
"CANARY ROCKFISH","2023","5 - Mendocino",73,56,18,74
"CANARY ROCKFISH","2023","6 - Northern",109,107,2,109
"CHILIPEPPER","2023","1 & 2 - Southern",4,4,0,4
"CHINA ROCKFISH","2023","4 - San Francisco",1,1,0,1
"CHINA ROCKFISH","2023","5 - Mendocino",2,2,0,2
"COPPER ROCKFISH","2022","1 & 2 - Southern",509,505,6,511
"COPPER ROCKFISH","2022","3 - Central",105,131,13,144
"COPPER ROCKFISH","2022","4 - San Francisco",106,97,10,107
"COPPER ROCKFISH","2023","1 & 2 - Southern",194,191,5,196
"COPPER ROCKFISH","2023","3 - Central",7,7,0,7
"COPPER ROCKFISH","2023","4 - San Francisco",26,26,0,26
"COPPER ROCKFISH","2023","5 - Mendocino",25,25,0,25
"COPPER ROCKFISH","2023","6 - Northern",1,1,0,1
"DEACON ROCKFISH","2023","4 - San Francisco",1,1,0,1
"DEACON ROCKFISH","2023","5 - Mendocino",9,9,0,8
"DEACON ROCKFISH","2023","6 - Northern",1,1,0,1
"FLAG ROCKFISH","2023","1 & 2 - Southern",16,16,0,16
"FLAG ROCKFISH","2023","3 - Central",4,4,0,4
